2ndary current A,L2 uH
0,4.172693878
7,2.477061224
14,0.679289796
21,0.263873469
28,0.113524898
35,0.066546531
42,0.049223673
49,0.041463265
56,0.036082449
63,0.032964898
70,0.030577959
77,0.028962041
84,0.027762857
91,0.026767347
98,0.026214286
105,0.025624898
112,0.024523265
119,0.024638367
126,0.02396
133,0.022953061
140,0.023226531
147,0.02327102
154,0.022745714
161,0.022296327
168,0.022053061
175,0.021633878
182,0.021234571
189,0.021096327
196,0.02119102
203,0.021000408
210,0.02126
